city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
Konya,2165192.0,200174,89577,110597,99492,100682,7,53.019050883980604
Karaman,244089.0,21046,7362,13684,10815,10231,7,28.127333486978568
Antalya,2306973.0,347773,179612,168161,137569,210204,7,114.33676958913614
Isparta,428378.0,42250,14823,27427,23853,18397,7,47.88486474401967
Burdur,262958.0,26092,9998,16094,14013,12079,7,36.649198606271774
Adana,2207079.0,237840,123504,114336,106004,131836,7,159.42494943657903
Mersin,1776547.0,233871,123814,110057,96997,136874,7,110.96483447845097
Hatay,1571426.0,144529,71004,73525,63931,80598,7,284.47248370745837
Kahramanmaraş,1120694.0,76437,29827,46610,40099,36338,7,77.18278236914601
Osmaniye,527174.0,40966,14047,26919,22811,18155,7,158.78734939759036
Kırıkkale,272262.0,24297,8261,16036,14629,9668,7,56.82780212899186
Aksaray,391924.0,36786,16958,19828,18576,18210,7,51.171693432562996
Niğde,350421.0,31842,10214,21628,19522,12320,7,48.44083494608792
Nevşehir,288151.0,27417,9751,17666,15777,11640,7,52.53436645396536
Kırşehir,225700.0,16940,5663,11277,11118,5822,7,34.28007290400972
Kayseri,1366684.0,121518,47614,73904,64008,57510,7,80.53529758397171
Sivas,616511.0,44134,14535,29599,28424,15710,7,21.89003692657293
Yozgat,410405.0,31669,11249,20420,20184,11485,7,29.97845142439737
Zonguldak,592416.0,43471,14529,28942,25462,18009,7,177.26391382405745
Karabük,238058.0,20625,6584,14041,13766,6859,7,57.47416706904877
Bartın,192711.0,15835,4958,10877,9566,6269,7,82.70858369098713
Kastamonu,367470.0,25340,9782,15558,14277,11063,7,28.128444580526637
Çankırı,181429.0,13112,4371,8741,7664,5448,7,24.055820737204986
Sinop,205305.0,13869,3444,10425,9379,4490,7,35.91131712436593
Samsun,1292069.0,118065,49116,68949,61534,56531,7,132.86056555269923
Tokat,596841.0,45009,15948,29061,26301,18708,7,59.4344752041426
Çorum,516468.0,35687,11973,23714,21027,14660,7,41.55680720952687
Amasya,327079.0,24400,7840,16560,14843,9557,7,58.11638237384506
Trabzon,778696.0,49266,19243,30023,28180,21086,7,168.25756266205704
Ordu,736155.0,51594,17840,33754,32285,19309,7,124.47666553939804
Giresun,432965.0,31191,9868,21323,19026,12165,7,62.10054503729202
Rize,329810.0,21662,7335,14327,13546,8116,7,86.0
Artvin,165622.0,13524,5150,8374,7006,6518,7,22.402542946030028
Gümüşhane,168340.0,8888,2371,6517,6176,2712,7,25.245950809838032
Erzurum,757258.0,59525,22490,37035,33426,26099,7,30.2830520675038
Erzincan,227964.0,19386,7563,11823,10674,8712,7,19.294456199746087
Bayburt,80030.0,5476,1701,3775,3274,2202,7,21.364121729845166
Ağrı,535577.0,38376,16555,21821,18280,20096,7,48.25452743490405
Kars,286485.0,19962,6573,13389,11592,8370,7,28.106053173746687
Iğdır,194211.0,16485,6504,9981,8032,8453,7,53.00518558951965
Ardahan,96719.0,9409,3639,5770,4971,4438,7,19.602553708958247
Malatya,783348.0,59105,22557,36548,32998,26107,7,63.89982869728363
Elazığ,581170.0,46067,18060,28007,26548,19519,7,61.9386123840989
Bingöl,273043.0,19259,8377,10882,10124,9135,7,34.11758090715981
Tunceli,82334.0,11284,4600,6684,5486,5798,7,10.859140068583487
Van,1104347.0,76145,37351,38794,36949,39196,7,52.78653028057932
Muş,404165.0,22727,10528,12199,10771,11956,7,46.35983023629273
Bitlis,341324.0,25405,10540,14865,12729,12676,7,41.15312273932964
Hakkari,275405.0,26949,12709,14240,12740,14209,7,38.81677237491191
Gaziantep,1990463.0,247830,129749,118081,76407,171423,7,292.58606497133616
Adıyaman,614016.0,34745,14721,20024,19226,15519,7,83.68761074008451
Kilis,135487.0,16839,8344,8495,6729,10110,7,95.95396600566572
Şanlıurfa,1978855.0,146888,73059,73829,64818,82070,7,102.84040120569587
Diyarbakır,1699100.0,196953,111289,85664,74436,122517,7,112.51572743526918
Mardin,807390.0,55241,21803,33438,30482,24759,7,91.95785876993166
Batman,584487.0,59437,26791,32646,23869,35568,7,130.553272280545
Şırnak,502592.0,49261,23572,25689,23432,25829,7,71.00762927380616
Siirt,323905.0,24044,10352,13692,10755,13289,7,56.65646317998951
İstanbul,14556739.0,1848675,1210957,637718,587688,1260987,8,2665.581212232192
Tekirdağ,969128.0,81916,34103,47813,40339,41577,8,156.56348949919226
Edirne,398840.0,39054,16468,22586,20238,18816,8,64.90480065093573
Kırklareli,350244.0,23303,7226,16077,12432,10871,8,54.22573153738969
Balıkesir,1188307.0,102670,42994,59676,47470,55200,8,81.4857711033395
Çanakkale,515339.0,41739,16061,25678,22742,18997,8,52.4945502699399
İzmir,4196228.0,439205,230328,208877,193481,245724,8,352.8910941047851
Aydın,1060046.0,125825,58420,67405,57403,68422,8,130.61187777230163
Denizli,997835.0,96287,45884,50403,46654,49633,8,82.23462996538652
Muğla,906553.0,109486,46453,63033,60653,48833,8,71.64161529951004
Manisa,1391158.0,117655,54598,63057,56003,61652,8,104.29252567658745
Afyonkarahisar,707997.0,46792,16205,30587,26200,20592,8,50.5134845890411
Kütahya,566610.0,33258,9763,23495,18818,14440,8,48.70293965961836
Uşak,351194.0,29317,11638,17679,16377,12940,8,63.221242124212424
Bursa,2863866.0,264839,121583,143256,122077,142762,8,264.8539720706557
Eskişehir,833283.0,98116,50012,48104,45568,52548,8,59.690759312320914
Bilecik,214834.0,17899,5086,12813,11162,6737,8,51.40799234266571
Kocaeli,1823015.0,153412,85639,67773,57895,95517,8,536.6544009420077
Sakarya,957760.0,77179,29095,48084,41692,35487,8,198.54063018242124
Düzce,366744.0,29174,10560,18614,14140,15034,8,147.1685393258427
Bolu,295345.0,23264,7861,15403,13995,9269,8,35.52808853602791
Yalova,230538.0,18521,7494,11027,9196,9325,8,288.89473684210526
Ankara,5276144.0,625597,350204,275393,241808,383789,8,205.84207240948814
Konya,2145186.0,174956,74334,100622,85379,89577,8,52.52916401390861
Karaman,243348.0,17555,4795,12760,10193,7362,8,28.041945148651763
Antalya,2268021.0,314051,158781,155270,134439,179612,8,112.40625464637954
Isparta,421690.0,34887,11033,23854,20064,14823,8,47.13726805276101
Burdur,259009.0,21163,6842,14321,11165,9998,8,36.09881533101046
Adana,2192471.0,218678,110877,107801,95175,123503,8,158.36976307425599
Mersin,1755996.0,202522,104208,98314,78709,123813,8,109.68119925046845
Hatay,1550650.0,126984,59328,67656,55980,71004,8,280.7114409847936
Kahramanmaraş,1109579.0,63159,25677,37482,33332,29827,8,76.4172865013774
Osmaniye,521561.0,35169,10087,25082,21122,14047,8,157.09668674698796
Kırıkkale,272012.0,20801,7027,13774,12540,8261,8,56.77562095595909
Aksaray,387491.0,27727,10197,17530,10769,16958,8,50.59289724507116
Niğde,348936.0,22981,6200,16781,12767,10214,8,48.23555432679016
Nevşehir,287626.0,23073,7302,15771,13322,9751,8,52.43865086599818
Kırşehir,225252.0,14200,3851,10349,8537,5663,8,34.21202916160389
Kayseri,1347629.0,106448,39556,66892,58834,47614,8,79.41243370654095
Sivas,617012.0,36768,11802,24966,22233,14535,8,21.907825592955547
Yozgat,413883.0,24787,6420,18367,13538,11249,8,30.232505478451426
Zonguldak,593718.0,36869,10596,26273,22340,14529,8,177.65350089766608
Karabük,237620.0,17892,4526,13366,11308,6584,8,57.36842105263158
Bartın,191585.0,12728,3324,9404,7770,4958,8,82.22532188841201
Kastamonu,371699.0,22775,6438,16337,12993,9782,8,28.452158603796693
Çankırı,179601.0,12031,3191,8840,7660,4371,8,23.813444709626093
Sinop,203508.0,12737,2290,10447,9293,3444,8,35.59699142907119
Samsun,1281286.0,101246,40786,60460,52130,49116,8,131.7517737789203
Tokat,597994.0,33833,9706,24127,17885,15948,8,59.54929296952798
Çorum,518538.0,29487,8674,20813,17514,11973,8,41.72336659156743
Amasya,323565.0,19845,5809,14036,12008,7837,8,57.49200426439232
Trabzon,773058.0,44801,15967,28834,25558,19243,8,167.03932584269663
Ordu,745766.0,42723,11623,31100,24883,17840,8,126.1017923571187
Giresun,441115.0,26727,7430,19297,16859,9868,8,63.26950659781985
Rize,329867.0,18664,5633,13031,11329,7335,8,86.0148631029987
Artvin,167598.0,11308,3781,7527,6158,5150,8,22.669822805356418
Gümüşhane,170298.0,7251,1641,5610,4880,2371,8,25.539592081583685
Erzurum,758682.0,44168,17284,26884,21677,22491,8,30.33999840038391
Erzincan,222610.0,16116,5466,10650,8553,7563,8,18.841303427845958
Bayburt,89722.0,4254,929,3325,2553,1701,8,23.951414842498664
Ağrı,541520.0,30174,12522,17652,13619,16555,8,48.78998107937652
Kars,288569.0,14318,4579,9739,7745,6573,8,28.310507210830963
Iğdır,192137.0,13111,4672,8439,6607,6504,8,52.43913755458515
Ardahan,97922.0,7107,2304,4803,3467,3640,8,19.846372111876775
Malatya,777109.0,53225,20887,32338,30668,22557,8,63.39089648421568
Elazığ,576891.0,40155,15571,24584,22095,18060,8,61.48257486944474
Bingöl,269029.0,15863,6666,9197,7486,8377,8,33.61601899287767
Tunceli,82053.0,7945,3325,4620,3345,4600,8,10.822078607227644
Van,1097762.0,57717,29114,28603,20366,37351,8,52.47177477176043
Muş,406135.0,17434,7315,10119,6906,10528,8,46.58579949529709
Bitlis,340845.0,19579,7473,12106,9039,10540,8,41.095370147094286
Hakkari,267586.0,18643,9131,9512,5934,12709,8,37.714728682170545
Gaziantep,1955922.0,195690,94764,100926,65944,129746,8,287.5087461414082
Adıyaman,609826.0,29493,11028,18465,14771,14722,8,83.11653264276953
Kilis,130290.0,15025,7103,7922,6681,8344,8,92.27337110481587
Şanlıurfa,1935283.0,119507,56301,63206,46448,73059,8,100.57597962789731
Diyarbakır,1672082.0,155495,95408,60087,44200,111295,8,110.72657439904643
Mardin,794070.0,43140,16891,26249,21337,21803,8,90.44077448747153
Batman,575241.0,45760,21234,24526,18969,26791,8,128.48805003350458
Şırnak,483125.0,37391,15428,21963,13819,23572,8,68.2572760666855
Siirt,322135.0,17297,8183,9114,6945,10352,8,56.34686024138534
İstanbul,14458174.0,1858130,1216169,641961,647173,1210957,9,2647.532320087896
Tekirdağ,934568.0,79826,33071,46755,45723,34103,9,150.98029079159934
Edirne,399784.0,37897,15629,22268,21429,16468,9,65.05842148087876
Kırklareli,345744.0,23504,7580,15924,16278,7226,9,53.52902926149559
Balıkesir,1180416.0,99862,41315,58547,56868,42994,9,80.94466159226496
Çanakkale,510837.0,41257,15649,25608,25196,16061,9,52.03595803198533
İzmir,4143818.0,435150,231919,203231,204823,230327,9,348.48355899419727
Aydın,1045492.0,119636,56355,63281,61216,58420,9,128.8186298669295
Denizli,986622.0,95154,45962,49192,49270,45884,9,81.31053238833032
Muğla,892323.0,104377,46237,58140,57924,46453,9,70.51706970128022
Manisa,1376228.0,115989,54554,61435,61391,54598,9,103.17325136816852
Afyonkarahisar,704520.0,46159,16192,29967,29956,16203,9,50.26541095890411
Kütahya,566846.0,32467,9888,22579,22704,9763,9,48.72322503008424
Uşak,347757.0,30056,12161,17895,18418,11638,9,62.6025202520252
Bursa,2813650.0,251028,117326,133702,129448,121580,9,260.20993248867103
Eskişehir,817865.0,93328,47011,46317,43316,50012,9,58.58631805157593
Bilecik,210051.0,16870,5375,11495,11785,5085,9,50.26346015793252
Kocaeli,1773047.0,154391,86388,68003,68752,85639,9,521.9449514277303
Sakarya,941667.0,72524,27156,45368,43429,29095,9,195.20460199004975
Düzce,358404.0,27927,10312,17615,17366,10561,9,143.82182985553771
Bolu,287328.0,22746,7372,15374,14885,7861,9,34.56369541681703
Yalova,226225.0,17874,6700,11174,10380,7494,9,283.48997493734333
Ankara,5215511.0,609916,344437,265479,259712,350204,9,203.4765527465668
Konya,2116731.0,170446,67458,102988,96113,74333,9,51.83238650276703
Karaman,240810.0,17858,4986,12872,13063,4795,9,27.749481447338095
Antalya,2233701.0,305599,154485,151114,146818,158781,9,110.70530802398771
Isparta,416816.0,32707,10865,21842,21674,11033,9,46.592443550190026
Burdur,256380.0,20115,6665,13450,13273,6842,9,35.73240418118467
Adana,2173795.0,211659,109439,102220,100783,110876,9,157.0207310026004
Mersin,1733477.0,191698,96660,95038,87490,104208,9,108.27464084946908
Hatay,1529511.0,121512,55675,65837,62184,59328,9,276.8846850108617
Kahramanmaraş,1093600.0,64363,26713,37650,38687,25676,9,75.3168044077135
Osmaniye,512359.0,35397,11961,23436,25310,10087,9,154.325
Kırıkkale,267176.0,20279,6779,13500,13252,7027,9,55.76622834481319
Aksaray,379545.0,27538,10113,17425,17341,10197,9,49.5554249902076
Niğde,344032.0,20845,5903,14942,14645,6200,9,47.5576444567321
Nevşehir,284417.0,21392,7099,14293,14090,7302,9,51.85360072926162
Kırşehir,222482.0,13514,4098,9416,9663,3851,9,33.79131227217497
Kayseri,1331537.0,101108,39020,62088,61552,39556,9,78.46417206835592
Sivas,615186.0,36804,12264,24540,25002,11802,9,21.842991052407328
Yozgat,413570.0,22398,6134,16264,15978,6420,9,30.209642074506938
Zonguldak,592888.0,33657,8583,25074,23061,10596,9,177.40514661879115
Karabük,233980.0,18213,4466,13747,13687,4526,9,56.489618541767264
Bartın,190043.0,12390,3133,9257,9066,3324,9,81.56351931330472
Kastamonu,366760.0,20985,6054,14931,14543,6442,9,28.074096754439683
Çankırı,178564.0,9985,2980,7005,6794,3191,9,23.67594802439671
Sinop,202654.0,11576,2095,9481,9286,2290,9,35.44761238411754
Samsun,1269430.0,98321,40825,57496,57536,40785,9,130.53264781491004
Tokat,591014.0,34211,10500,23711,24505,9706,9,58.854212308305115
Çorum,519324.0,29438,8820,20618,20764,8674,9,41.78661087866109
Amasya,320245.0,19278,5846,13432,13469,5809,9,56.90209665955935
Trabzon,764101.0,42600,16320,26280,26633,15967,9,165.10393258426967
Ordu,725291.0,39781,10647,29134,28158,11623,9,122.63966858302334
Giresun,424197.0,26361,7970,18391,18930,7431,9,60.84294320137693
Rize,327976.0,18249,5750,12499,12616,5633,9,85.52177314211212
Artvin,167915.0,10274,3220,7054,6493,3781,9,22.712701203841473
Gümüşhane,150178.0,6125,1475,4650,4484,1641,9,22.522195560887823
Erzurum,759491.0,43464,16276,27188,26180,17284,9,30.372350635847397
Erzincan,221514.0,15690,5161,10529,10224,5466,9,18.748539991536184
Bayburt,78211.0,3952,1004,2948,3023,929,9,20.878537106246664
Ağrı,546562.0,27659,11980,15679,15137,12522,9,49.24425623930084
Kars,291610.0,14846,4586,10260,10267,4579,9,28.608849210242322
Iğdır,191930.0,12952,4564,8388,8280,4672,9,52.38264192139738
Ardahan,98952.0,6815,2146,4669,4511,2304,9,20.055127685447914
Malatya,769036.0,51306,17988,33318,30419,20887,9,62.73235989884982
Elazığ,573102.0,39163,14435,24728,23591,15572,9,61.07875945859533
Bingöl,266725.0,14576,6106,8470,7910,6666,9,33.32812695239285
Tunceli,85946.0,7184,2900,4284,3859,3325,9,11.335531522025851
Van,1094303.0,55681,27165,28516,26566,29115,9,52.30643850676354
Muş,408366.0,16623,6610,10013,9308,7315,9,46.84170681348933
Bitlis,340334.0,16147,6144,10003,8674,7473,9,41.03375934410417
Hakkari,278581.0,16239,8472,7767,7108,9131,9,39.26441155743481
Gaziantep,1916252.0,168320,76912,91408,73557,94763,9,281.6774952226959
Adıyaman,602292.0,26773,9691,17082,15745,11028,9,82.08968243151152
Kilis,130076.0,16377,5985,10392,9274,7103,9,92.12181303116148
Şanlıurfa,1889041.0,105651,45097,60554,49350,56301,9,98.17279908533416
Diyarbakır,1653124.0,144677,83651,61026,49269,95408,9,109.47116085027481
Mardin,794510.0,38477,14657,23820,21586,16891,9,90.49088838268793
Batman,564975.0,44491,20276,24215,23257,21234,9,126.1949966495421
Şırnak,489418.0,27122,12887,14235,11693,15429,9,69.14636903079966
Siirt,319832.0,16645,7014,9631,8462,8183,9,55.944026587371
İstanbul,14221482.0,1877707,1226072,651635,661539,1216168,10,2604.1900750778245
Tekirdağ,903940.0,75099,30042,45057,42028,33071,10,146.03231017770597
Edirne,397959.0,39447,15038,24409,23818,15629,10,64.76143205858422
Kırklareli,342661.0,23833,7613,16220,16253,7580,10,53.05171079114414
Balıkesir,1183579.0,96693,40190,56503,55378,41315,10,81.16155797846808
Çanakkale,509796.0,39206,14081,25125,23557,15649,10,51.92991749006825
İzmir,4091894.0,435465,237122,198343,203546,231919,10,344.1168951307712
Aydın,1034333.0,114453,53162,61291,58098,56355,10,127.44369147363233
Denizli,973596.0,88862,42034,46828,42900,45962,10,80.23701994395913
Muğla,878566.0,101001,42116,58885,54764,46237,10,69.42990358779832
Manisa,1365242.0,115524,53931,61593,60969,54555,10,102.34965139815579
Afyonkarahisar,702712.0,44258,14660,29598,28066,16192,10,50.13641552511415
Kütahya,568221.0,31177,9382,21795,21289,9888,10,48.84141309953584
Uşak,345731.0,28847,11610,17237,16686,12161,10,62.23780378037804
Bursa,2763351.0,241488,110029,131459,124163,117325,10,255.5582169610654
Eskişehir,806323.0,93405,47785,45620,46394,47011,10,57.759527220630375
Bilecik,208439.0,16097,5284,10813,10722,5375,10,49.87772194304858
Kocaeli,1716566.0,149250,80650,68600,62862,86388,10,505.31822196055344
Sakarya,925541.0,67222,24584,42638,40066,27156,10,191.86173300165837
Düzce,353750.0,28528,9311,19217,18217,10311,10,141.954253611557
Bolu,282258.0,21086,6691,14395,13714,7372,10,33.95380728978708
Yalova,222695.0,18191,7073,11118,11491,6700,10,279.06641604010025
Ankara,5110993.0,584508,332631,251877,240072,344436,10,199.3989154182272
Konya,2094919.0,155570,58361,97209,88112,67458,10,51.298276115382734
Karaman,239125.0,19645,5377,14268,14659,4986,10,27.55531228393639
Antalya,2174812.0,293085,145620,147465,138600,154485,10,107.78668781285623
Isparta,415246.0,31643,9863,21780,20778,10865,10,46.41694612117147
Burdur,255388.0,18890,6335,12555,12225,6665,10,35.594146341463414
Adana,2154759.0,203390,101350,102040,93951,109439,10,155.64569488587114
Mersin,1715941.0,181235,91768,89467,84575,96660,10,107.1793254216115
Hatay,1515724.0,116428,48839,67589,60754,55674,10,274.38884866039103
Kahramanmaraş,1086037.0,59037,23925,35112,32324,26713,10,74.79593663911845
Osmaniye,506299.0,34333,10430,23903,22372,11961,10,152.49969879518073
Kırıkkale,268899.0,19321,6426,12895,12542,6779,10,56.12586098935504
Aksaray,378459.0,23743,8010,15733,13630,10113,10,49.413631022326676
Niğde,342738.0,20127,5870,14257,14224,5903,10,47.37876693392314
Nevşehir,283349.0,21017,6863,14154,13918,7099,10,51.658887876025524
Kırşehir,220841.0,13327,4167,9160,9229,4098,10,33.54207168894289
Kayseri,1314519.0,94949,37234,57715,55930,39019,10,77.46134354743666
Sivas,620214.0,37309,11909,25400,25045,12264,10,22.02151682999574
Yozgat,428141.0,21841,5676,16165,15707,6134,10,31.27399561723886
Zonguldak,596917.0,33212,8251,24961,24629,8583,10,178.61071214841414
Karabük,229751.0,17193,4814,12379,12727,4466,10,55.46861419604056
Bartın,188778.0,11211,2530,8681,8078,3133,10,81.0206008583691
Kastamonu,366004.0,19984,5788,14196,13934,6050,10,28.016227801592162
Çankırı,182378.0,10108,2828,7280,7128,2980,10,24.181649429859455
Sinop,203862.0,11109,2031,9078,9014,2095,10,35.65891201679202
Samsun,1264069.0,91499,39711,51788,50674,40825,10,129.9813881748072
Tokat,595692.0,32148,7957,24191,21648,10500,10,59.32005576578371
Çorum,523733.0,29317,9232,20085,20497,8820,10,42.14137431606051
Amasya,320828.0,18877,5086,13791,13031,5846,10,57.00568585643212
Trabzon,763654.0,40478,15405,25073,24158,16320,10,165.00734658599828
Ordu,722584.0,39849,10264,29585,29202,10647,10,122.18194115657761
Giresun,428051.0,26610,7931,18679,18640,7970,10,61.395725760183595
Rize,328927.0,18296,5185,13111,12546,5750,10,85.76975228161669
Artvin,169297.0,9865,2882,6983,6645,3220,10,22.8996347896659
Gümüşhane,145396.0,5874,1188,4686,4399,1475,10,21.80503899220156
Erzurum,760703.0,42314,16177,26137,26038,16276,10,30.420819003439174
Erzincan,222462.0,14481,4739,9742,9320,5161,10,18.828776978417267
Bayburt,80301.0,3565,765,2800,2561,1004,10,21.436465563267486
Ağrı,548705.0,25375,9353,16022,13395,11980,10,49.43733669699973
Kars,295439.0,15317,4268,11049,10731,4586,10,28.984499166094377
Iğdır,191606.0,12892,3575,9317,8328,4564,10,52.294213973799124
Ardahan,100561.0,6941,1816,5125,4795,2146,10,20.38123226591001
Malatya,766090.0,48497,18634,29863,30509,17988,10,62.49204665959703
Elazığ,567997.0,38046,12428,25618,23612,14434,10,60.53469039752744
Bingöl,265864.0,13856,3958,9898,7751,6105,10,33.22054229663876
Tunceli,86405.0,7014,1645,5369,4114,2900,10,11.39606963861778
Van,1083725.0,54735,26914,27821,27570,27165,10,51.800822140433056
Muş,410853.0,14954,5042,9912,8344,6610,10,47.126978664831384
Bitlis,337925.0,14263,4434,9829,8119,6144,10,40.74330841572221
Hakkari,276109.0,16376,4918,11458,7904,8472,10,38.91599718111346
Gaziantep,1878460.0,150946,70946,80000,74034,76912,10,276.12229898574157
Adıyaman,597405.0,25779,8324,17455,16088,9691,10,81.42360637862886
Kilis,127881.0,14953,4556,10397,8968,5985,10,90.5672804532578
Şanlıurfa,1842316.0,96391,40839,55552,51294,45097,10,95.74451720195405
Diyarbakır,1633958.0,143454,90233,53221,59803,83651,10,108.20197337924641
Mardin,786257.0,34183,11080,23103,19526,14657,10,89.55091116173121
Batman,555861.0,38041,16690,21351,17765,20276,10,124.1592584319857
Şırnak,487906.0,25951,8267,17684,13064,12887,10,68.93274936422718
Siirt,317877.0,15627,5287,10340,8613,7014,10,55.60206401959069
İstanbul,14025449.0,1818783,1168307,650476,594803,1223980,11,2568.2931697491304
Tekirdağ,871220.0,70722,28370,42352,40679,30043,11,140.74636510500807
Edirne,396572.0,36412,12513,23899,21374,15038,11,64.53572009764036
Kırklareli,339410.0,23594,7544,16050,15981,7613,11,52.548382102492646
Balıkesir,1158352.0,94599,38226,56373,54409,40190,11,79.43166700953165
Çanakkale,500588.0,36865,12559,24306,22784,14081,11,50.99195273505144
İzmir,4039477.0,445404,243551,201853,208908,236496,11,339.70877133966866
Aydın,1012869.0,109658,48987,60671,56500,53158,11,124.79903893543617
Denizli,959944.0,85600,40652,44948,43578,42022,11,79.11191692764133
Muğla,850175.0,97030,37881,59149,54916,42114,11,67.186265212581
Manisa,1357215.0,114331,52129,62202,60405,53926,11,101.74788215008621
Afyonkarahisar,703145.0,41482,13882,27600,26822,14660,11,50.16730878995434
Kütahya,570007.0,29486,8570,20916,20104,9382,11,48.99492865738353
Uşak,344070.0,28135,10457,17678,16525,11610,11,61.93879387938794
Bursa,2718379.0,223352,97445,125907,113399,109953,11,251.39914917229262
Eskişehir,794969.0,85440,42625,42815,37655,47785,11,56.946203438395415
Bilecik,207697.0,15784,5033,10751,10502,5282,11,49.700167504187604
Kocaeli,1669528.0,140462,73851,66611,59812,80650,11,491.4712982042979
Sakarya,911413.0,63825,23105,40720,39241,24584,11,188.9330431177446
Düzce,350091.0,29024,8560,20464,19713,9311,11,140.48595505617976
Bolu,282092.0,20948,6388,14560,14257,6691,11,33.93383856610129
Yalova,217130.0,17059,5959,11100,9986,7073,11,272.09273182957395
Ankara,5013667.0,538761,304847,233914,206598,332163,11,195.60186485642947
Konya,2068987.0,147928,52913,95015,89567,58361,11,50.663279298692395
Karaman,236925.0,17769,4595,13174,12392,5377,11,27.301797649227932
Antalya,2115955.0,286432,141708,144724,140910,145522,11,104.86965356594142
Isparta,415372.0,30316,9291,21025,20453,9863,11,46.431030628213726
Burdur,256097.0,18935,6523,12412,12600,6335,11,35.69296167247387
Adana,2138951.0,193630,93615,100015,93783,99847,11,154.50382837330253
Mersin,1694370.0,180898,85425,95473,89130,91768,11,105.8319800124922
Hatay,1498306.0,102027,40284,61743,53189,48838,11,271.23569876900797
Kahramanmaraş,1072606.0,56754,22064,34690,32834,23920,11,73.87093663911845
Osmaniye,498388.0,34450,11057,23393,24020,10430,11,150.1168674698795
Kırıkkale,272969.0,19292,6581,12711,12866,6426,11,56.97537048632853
Aksaray,377690.0,22256,7785,14471,14246,8010,11,49.31322626974801
Niğde,342680.0,20428,5970,14458,14558,5870,11,47.37074923970141
Nevşehir,283658.0,20245,6338,13907,13383,6862,11,51.71522333637192
Kırşehir,221279.0,12818,3975,8843,8651,4167,11,33.60859659781288
Kayseri,1289141.0,92203,38164,54039,54969,37234,11,75.96588096641132
Sivas,621239.0,38358,12858,25500,26450,11908,11,22.057910808123847
Yozgat,439292.0,21239,5627,15612,15563,5676,11,32.08853177501826
Zonguldak,600431.0,33334,7452,25882,25083,8251,11,179.66217833632555
Karabük,229632.0,15911,4974,10937,11097,4814,11,55.43988411395461
Bartın,188683.0,11232,2545,8687,8702,2530,11,80.97982832618025
Kastamonu,366264.0,18488,4710,13778,12700,5788,11,28.036129822412736
Çankırı,190298.0,10074,2819,7255,7246,2828,11,25.231768761601696
Sinop,204144.0,11351,2109,9242,9320,2031,11,35.70823858667133
Samsun,1257053.0,90421,39588,50833,50847,39574,11,129.25994858611824
Tokat,596078.0,29361,7756,21605,21404,7957,11,59.35849432383987
Çorum,529091.0,29254,9741,19513,20022,9232,11,42.57249758609591
Amasya,320595.0,18911,4797,14114,13825,5086,11,56.964285714285715
